echeance,strike,type,bid,ask,close,mid_option_price,reference_type,spread_pct,quote_age_seconds,flag,reference_spot,reference_type_spot,capture_ts,snapshot_version
20260703,6275.0,C,79.7,81.5,63.8,80.6,mid,0.02233,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6275.0,P,58.5,59.9,78.0,59.2,mid,0.02365,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6300.0,C,65.7,67.3,51.8,66.5,mid,0.02406,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6300.0,P,69.4,71.0,91.0,70.2,mid,0.02279,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6325.0,C,53.4,54.7,41.4,54.05,mid,0.02405,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6325.0,P,81.8,83.4,105.5,82.6,mid,0.01937,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6350.0,C,42.5,43.6,32.5,43.05,mid,0.02555,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6350.0,P,95.8,97.6,121.6,96.69999999999999,mid,0.01861,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6375.0,C,33.3,34.3,25.1,33.8,mid,0.02959,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6375.0,P,111.3,113.2,139.2,112.25,mid,0.01693,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6400.0,C,25.5,26.4,19.0,25.95,mid,0.03468,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6400.0,P,128.3,130.5,158.1,129.4,mid,0.017,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6425.0,C,19.1,19.9,14.1,19.5,mid,0.04103,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6425.0,P,146.7,148.9,178.2,147.8,mid,0.01488,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6450.0,C,14.0,14.8,10.3,14.4,mid,0.05556,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6450.0,P,166.3,170.3,199.3,168.3,mid,0.02377,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6475.0,C,10.1,10.7,7.3,10.399999999999999,mid,0.05769,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6475.0,P,185.7,191.6,221.3,188.64999999999998,mid,0.03127,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6500.0,C,7.0,7.7,5.2,7.35,mid,0.09524,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6500.0,P,207.4,214.4,244.2,210.9,mid,0.03319,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6525.0,C,4.9,5.5,3.6,5.2,mid,0.11538,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6525.0,P,230.0,237.8,267.6,233.9,mid,0.03335,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6550.0,C,3.3,3.9,2.6,3.5999999999999996,mid,0.16667,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6550.0,P,253.3,261.3,291.5,257.3,mid,0.03109,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6575.0,C,2.3,2.8,1.8,2.55,mid,0.19608,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6575.0,P,277.1,285.2,315.8,281.15,mid,0.02881,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6600.0,C,1.5,2.0,1.4,1.75,mid,0.28571,,spread_large,6289.88,indice_last_ou_close,20260617_131429,snap1
